recipient,amount
Dq3piY2ZcBvNN84j2EhDLtTzRAw95za7Eau89pNcmSd5,51611882141372
4AhrAeFbVY7Ucoj4Swcpx8LJFGtxr96Zqzjiy8qhuvXT,2133667463904
FUyx2W6wDt7u363QgQRWQYuytE5uJWZLGJpuVh3RDiCa,37351083276145
D4ujBcx3Wwc6rHhx1DFdTZL7vfDJDE6Y2BvRfE8HovBF,34872995096105
8ZENvd3sBBijAWc36hMjwYBgp858rSdSCERhXzRacNqY,2904738744342
88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh,35593681496552
6Rk694kh1QTyQkirdb1uDZmS5xqG9bNaYtxx8d311Mr7,32972560810748
FB2Wa9wJgT8WnZqbUAdPVvoqSwzofboZepRWWoH4UAgv,37062866316406
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,2000000
FLVgaCPvSGFguumN9ao188izB4K4rxSWzkHneQMtkwQJ,20723027082973
